timestamp,value
1.130556,-828.0
1.133333,-829.0
1.136111,-829.0
1.138889,-829.0
1.141667,-827.0
1.144444,-822.0
1.147222,-814.0
1.150000,-799.0
1.152778,-783.0
1.155556,-767.0
1.158333,-750.0
1.161111,-733.0
1.163889,-715.0
1.166667,-699.0
1.169444,-685.0
1.172222,-667.0
1.175000,-648.0
1.177778,-629.0
1.180556,-613.0
1.183333,-602.0
1.186111,-594.0
1.188889,-587.0
1.191667,-588.0
1.194444,-591.0
1.197222,-599.0
1.200000,-609.0
1.202778,-620.0
1.205556,-630.0
1.208333,-638.0
1.211111,-646.0
1.213889,-653.0
1.216667,-658.0
1.219444,-660.0
1.222222,-660.0
1.225000,-660.0
1.227778,-662.0
1.230556,-662.0
1.233333,-663.0
1.236111,-665.0
1.238889,-667.0
1.241667,-668.0
1.244444,-668.0
1.247222,-664.0
1.250000,-659.0
1.252778,-650.0
1.255556,-640.0
1.258333,-628.0
1.261111,-617.0
1.263889,-605.0
1.266667,-593.0
1.269444,-582.0
1.272222,-570.0
1.275000,-561.0
1.277778,-553.0
1.280556,-546.0
1.283333,-538.0
1.286111,-526.0
1.288889,-511.0
1.291667,-493.0
1.294444,-470.0
1.297222,-443.0
1.300000,-418.0
1.302778,-396.0
1.305556,-382.0
1.308333,-372.0
1.311111,-371.0
1.313889,-375.0
1.316667,-386.0
1.319444,-400.0
1.322222,-415.0
1.325000,-430.0
1.327778,-445.0
1.330556,-455.0
1.333333,-463.0
1.336111,-466.0
1.338889,-466.0
1.341667,-464.0
1.344444,-457.0
1.347222,-448.0
1.350000,-438.0
1.352778,-430.0
1.355556,-424.0
1.358333,-417.0
1.361111,-410.0
1.363889,-404.0
1.366667,-397.0
1.369444,-394.0
1.372222,-395.0
1.375000,-400.0
1.377778,-411.0
1.380556,-429.0
1.383333,-450.0
1.386111,-473.0
1.388889,-482.0
1.391667,-468.0
1.394444,-418.0
1.397222,-321.0
1.400000,-167.0
1.402778,65.0
1.405556,361.0
1.408333,683.0
1.411111,1002.0
1.413889,1246.0
1.416667,1397.0
1.419444,1445.0
1.422222,1358.0
1.425000,1154.0
1.427778,864.0
1.430556,517.0
1.433333,187.0
1.436111,-103.0
1.438889,-341.0
1.441667,-511.0
1.444444,-615.0
1.447222,-653.0
1.450000,-639.0
1.452778,-591.0
1.455556,-529.0
1.458333,-465.0
1.461111,-407.0
1.463889,-361.0
1.466667,-330.0
1.469444,-311.0
1.472222,-300.0
1.475000,-292.0
1.477778,-285.0
1.480556,-276.0
1.483333,-266.0
1.486111,-254.0
1.488889,-242.0
1.491667,-232.0
1.494444,-224.0
1.497222,-217.0
1.500000,-209.0
1.502778,-201.0
1.505556,-193.0
1.508333,-186.0
1.511111,-179.0
1.513889,-171.0
1.516667,-164.0
1.519444,-160.0
1.522222,-157.0
1.525000,-154.0
1.527778,-151.0
